grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
207560,"POLYGON ((20.89605100205896 52.24629313360962, 20.88154890002095 52.24763322254971, 20.88373865767594 52.25650422582861, 20.89824356771174 52.25516382984824, 20.89605100205896 52.24629313360962))",0.0,0.0,0.0,1.0,1.0,0.0,0.0,1398,233,959,206,659,739,113,465,81,120,494,125,112.13960546,106.0,0.0,1.0,16.0,1.0,2.0,49.0,48.0,24.0,0.0
207573,"POLYGON ((20.89824356771174 52.25516382984824, 20.88373865767594 52.25650422582861, 20.88592948881526 52.2653751631245, 20.90043720676399 52.26403445993974, 20.89824356771174 52.25516382984824))",0.0,0.0,0.0,2.0,0.0,0.0,0.0,1869,236,1210,423,838,1031,111,572,155,125,638,268,123.03102625,31.0,0.0,2.0,19.0,2.0,6.0,23.0,24.0,54.0,0.0
207626,"POLYGON ((20.88073304162547 52.1841963981407, 20.86625055419452 52.18553434578261, 20.86843282681146 52.19440581310215, 20.88291811260529 52.19306755972936, 20.88073304162547 52.1841963981407))",2.0,0.0,0.0,0.0,1.0,0.0,0.0,4489,612,3207,670,2154,2335,307,1545,302,305,1662,368,108.40297121,0.0,0.0,0.0,0.0,5.0,4.0,7.0,9.0,42.0,0.0
207627,"POLYGON ((20.88291811260529 52.19306755972936, 20.86843282681146 52.19440581310215, 20.87061616594652 52.20327721389263, 20.8851042529399 52.20193865457892, 20.88291811260529 52.19306755972936))",2.0,1.0,1.0,6.0,2.0,0.0,2.0,7448,999,5568,881,3609,3839,524,2699,386,475,2869,495,106.37295649,1.0,0.0,5.0,29.0,11.0,8.0,24.0,80.0,91.0,0.0
207628,"POLYGON ((20.92022840411714 52.34386714789994, 20.90569535095457 52.34521061721284, 20.90789694846931 52.35408089315868, 20.92243282192056 52.35273711478404, 20.92022840411714 52.34386714789994))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
207657,"POLYGON ((20.89385950898396 52.23742237037231, 20.87936021213869 52.23876215338165, 20.88154890002095 52.24763322254971, 20.89605100205896 52.24629313360962, 20.89385950898396 52.23742237037231))",0.0,0.0,0.0,2.0,0.0,0.0,0.0,1531,231,1141,159,716,815,109,551,56,122,590,103,113.82681564,4.0,0.0,0.0,4.0,1.0,3.0,3.0,3.0,21.0,0.0
207680,"POLYGON ((20.88947973901587 52.21968064576365, 20.87498605131241 52.22101981652778, 20.87717259617578 52.22989101832488, 20.8916690892062 52.22855154105893, 20.88947973901587 52.21968064576365))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,121,21,88,12,57,64,10,41,6,11,47,6,112.28070175,8.0,0.0,0.0,10.0,3.0,0.0,0.0,30.0,11.0,0.0
207681,"POLYGON ((20.90482771113514 52.28177552144462, 20.89031437167662 52.28311683782704, 20.89250842500603 52.29198757603795, 20.90702457509408 52.29064595281046, 20.90482771113514 52.28177552144462))",1.0,0.0,0.0,1.0,1.0,0.0,0.0,815,144,577,94,408,407,87,287,34,57,290,60,99.75490196,0.0,0.0,0.0,7.0,0.0,11.0,0.0,3.0,25.0,1.0
207701,"POLYGON ((20.88729146052085 52.21080968358793, 20.87280057384098 52.21214854808392, 20.87498605131241 52.22101981652778, 20.88947973901587 52.21968064576365, 20.88729146052085 52.21080968358793))",0.0,1.0,0.0,1.0,0.0,0.0,0.0,136,14,100,22,71,65,8,54,9,6,46,13,91.54929577,0.0,0.0,0.0,7.0,0.0,11.0,23.0,11.0,36.0,0.0
207702,"POLYGON ((20.8916690892062 52.22855154105893, 20.87717259617578 52.22989101832488, 20.87936021213869 52.23876215338165, 20.89385950898396 52.23742237037231, 20.8916690892062 52.22855154105893))",1.0,1.0,0.0,1.0,1.0,0.0,0.0,509,93,406,10,250,259,45,201,4,48,205,6,103.6,9.0,0.0,1.0,14.0,11.0,0.0,5.0,55.0,20.0,0.0
207723,"POLYGON ((20.90043720676399 52.26403445993974, 20.88592948881526 52.2653751631245, 20.88812139418488 52.27424603349116, 20.90263192146504 52.27290502381315, 20.90043720676399 52.26403445993974))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,12,85,23,50,70,6,35,9,6,50,14,140.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
207736,"POLYGON ((20.92243282192056 52.35273711478404, 20.90789694846931 52.35408089315868, 20.9100996251929 52.36295110264664, 20.92463832329668 52.36160701587271, 20.92243282192056 52.35273711478404))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,3,0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
207765,"POLYGON ((20.91362163522848 52.31725684860228, 20.89909703765856 52.31859939451008, 20.90129539780605 52.3274698678173, 20.91582281154201 52.32612701431196, 20.91362163522848 52.31725684860228))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,643,89,458,96,315,328,49,228,38,40,230,58,104.12698412,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,10.0,0.0
207777,"POLYGON ((20.90922251705944 52.29951631781582, 20.89470355202717 52.30085824812348, 20.8968997564966 52.30972885488806, 20.91142153635277 52.30838661643686, 20.90922251705944 52.29951631781582))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
207802,"POLYGON ((20.90263192146504 52.27290502381315, 20.88812139418488 52.27424603349116, 20.89031437167662 52.28311683782704, 20.90482771113514 52.28177552144462, 20.90263192146504 52.27290502381315))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,44,142,9,89,106,21,63,5,23,79,4,119.10112359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207822,"POLYGON ((20.90702457509408 52.29064595281046, 20.89250842500603 52.29198757603795, 20.89470355202717 52.30085824812348, 20.90922251705944 52.29951631781582, 20.90702457509408 52.29064595281046))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,26,149,21,102,94,12,80,10,14,69,11,92.15686274,0.0,0.0,0.0,7.0,0.0,0.0,0.0,18.0,11.0,0.0
