operator,geometry
dpd,POINT (20.5779 54.1244)
dpd,POINT (20.97344 49.78469)
dpd,POINT (20.29462 50.10685)
dpd,POINT (19.94896 49.83429)
dpd,POINT (16.61534 51.71946)
dpd,POINT (19.16008 50.29238)
dpd,POINT (16.2048 50.7565)
dpd,POINT (18.5079 54.5556)
dpd,POINT (17.5753 50.3224)
dpd,POINT (19.06555 52.64856)
dpd,POINT (17.0067 54.4751)
dpd,POINT (21.92059 53.41406)
dpd,POINT (20.29771 49.40648)
dpd,POINT (19.95508 49.83266)
dpd,POINT (18.3621 54.59781)
dpd,POINT (18.42391 50.05997)
dpd,POINT (17.79517 54.32552)
dpd,POINT (17.93555 54.45191999999999)
dpd,POINT (20.2734 52.26036)
dpd,POINT (16.1812 54.1888)
dpd,POINT (19.68251 50.62485)
dpd,POINT (14.58505 53.488)
dpd,POINT (18.02043 53.46606999999999)
dpd,POINT (23.1435 52.03897)
dpd,POINT (23.6726 53.09392)
dpd,POINT (17.54282 52.00841)
dpd,POINT (20.99606 52.0905)
dpd,POINT (22.29921 51.89578)
dpd,POINT (18.93706 51.60426)
dpd,POINT (19.00162 49.8095)
dpd,POINT (19.97109 50.11614)
dpd,POINT (21.22392 52.25177)
dpd,POINT (23.15603 53.11994)
dpd,POINT (17.73191 53.00998000000001)
dpd,POINT (18.60206 53.02883000000001)
dpd,POINT (19.1797 50.29079)
dpd,POINT (18.88207 50.26888)
dpd,POINT (16.87001 52.47505)
dpd,POINT (20.80085 52.21046)
dpd,POINT (20.04029 49.99155)
dpd,POINT (16.9164 52.9923)
dpd,POINT (22.36291 53.80251999999999)
dpd,POINT (19.90812 50.01819)
dpd,POINT (18.9452 50.30213)
dpd,POINT (19.13492 50.15136)
dpd,POINT (18.9959 50.29814)
dpd,POINT (20.89775 53.25779)
dpd,POINT (19.0262 50.26214)
dpd,POINT (20.693 53.8343)
dpd,POINT (17.87004 52.29284000000001)
dpd,POINT (21.79006 49.86948)
dpd,POINT (22.00291 50.0366)
dpd,POINT (20.9633 52.33574)
dpd,POINT (19.9715 53.6923)
dpd,POINT (21.98411 50.0362)
dpd,POINT (18.8687 50.33762)
dpd,POINT (14.52341 53.40298000000001)
dpd,POINT (21.02358 52.23284)
dpd,POINT (19.43882 51.79248)
dpd,POINT (19.52282 51.77515)
dpd,POINT (17.70597 51.3119)
dpd,POINT (17.47084 51.35832)
dpd,POINT (17.71423 51.07715)
dpd,POINT (16.51115 50.84082)
dpd,POINT (15.60038 54.17722)
dpd,POINT (19.56972 51.73997)
dpd,POINT (20.9921 50.0128)
dpd,POINT (18.99777 50.22892)
dpd,POINT (18.63076 50.40258)
dpd,POINT (22.24324 52.98455999999999)
dpd,POINT (21.5746 53.08199)
dpd,POINT (16.15941 51.21239)
dpd,POINT (21.21693 51.97967)
dpd,POINT (18.91711 50.34719)
dpd,POINT (22.16066 50.96053)
dpd,POINT (18.75177 53.4945)
dpd,POINT (21.05847 52.26704)
dpd,POINT (22.2259 50.78655999999999)
dpd,POINT (21.54875 53.16273)
dpd,POINT (17.35618 51.62995)
dpd,POINT (20.39563 53.98638)
dpd,POINT (14.43621 52.95898)
dpd,POINT (19.79783 49.85623)
dpd,POINT (19.42475 51.85014)
dpd,POINT (18.95824 51.89807)
dpd,POINT (18.77101 53.49406999999999)
dpd,POINT (18.09076 52.96958000000001)
dpd,POINT (18.24626 52.79446)
dpd,POINT (19.55599 53.15218)
dpd,POINT (22.44285 52.47585)
dpd,POINT (19.41875 50.1995)
dpd,POINT (21.95638 50.00699)
dpd,POINT (21.10334 52.31688)
dpd,POINT (17.66723 51.39794000000001)
dpd,POINT (19.23174 49.72523)
dpd,POINT (21.10184 52.24195)
dpd,POINT (17.48701 53.34996)
dpd,POINT (15.77287 52.0706)
dpd,POINT (16.44308 50.41626)
dpd,POINT (20.39866 53.21409)
dpd,POINT (20.85151 51.08722)
dpd,POINT (20.90942 52.1588)
dpd,POINT (21.9665 51.14869)
dpd,POINT (20.92212 52.15322)
dpd,POINT (21.15658 53.03388)
dpd,POINT (19.16971 52.25434)
dpd,POINT (16.04639 51.86972)
dpd,POINT (17.21417 54.66516)
dpd,POINT (17.06307 51.08117)
dpd,POINT (20.94203 52.33124)
dpd,POINT (21.62131 51.89056)
dpd,POINT (23.17364 50.98413)
dpd,POINT (14.5486 53.44129)
dpd,POINT (16.7349 53.1546)
dpd,POINT (19.96538 50.03979)
dpd,POINT (17.37812 51.208)
dpd,POINT (22.4996 52.67867)
dpd,POINT (21.01914 52.23522)
dpd,POINT (18.72557 50.97112)
dpd,POINT (15.83107 52.83525)
dpd,POINT (19.34022 51.66466)
dpd,POINT (22.78511 51.98638)
dpd,POINT (21.12792 52.27954)
dpd,POINT (17.9556 50.6674)
dpd,POINT (20.6363 50.87991)
dpd,POINT (20.95607 52.27146)
dpd,POINT (18.98814 52.65566)
dpd,POINT (19.56584 53.40565)
dpd,POINT (21.74493 51.54094)
dpd,POINT (19.77488 50.01692)
dpd,POINT (20.00225 50.01488)
dpd,POINT (17.98637 50.15634)
dpd,POINT (19.59934 49.77707)
dpd,POINT (17.6075 52.52164)
dpd,POINT (16.48908 50.84496)
dpd,POINT (21.95648 51.41732)
dpd,POINT (19.54329 50.06301)
dpd,POINT (16.65546 50.73895)
dpd,POINT (19.41887 54.15345)
dpd,POINT (19.5927 53.4252)
dpd,POINT (18.15055 51.54553)
dpd,POINT (17.81251 51.69422)
dpd,POINT (15.53316 52.36747)
dpd,POINT (20.99028 52.24988)
dpd,POINT (15.78203 51.52970999999999)
dpd,POINT (20.98292 52.21585)
dpd,POINT (20.94278 52.34912)
dpd,POINT (22.60075 51.25136)
dpd,POINT (21.74651 51.07292)
dpd,POINT (23.46883 51.13471)
dpd,POINT (20.74775 52.96156999999999)
dpd,POINT (18.43479 51.6528)
dpd,POINT (21.01321 52.22649000000001)
dpd,POINT (19.11794 50.32059)
dpd,POINT (19.45754 51.7625)
dpd,POINT (18.60202 53.00966999999999)
dpd,POINT (20.0358 50.9385)
dpd,POINT (18.75608 50.31881)
dpd,POINT (18.1663 50.3513)
dpd,POINT (16.2264 54.1895)
dpd,POINT (22.0093 50.9194)
dpd,POINT (17.4671 51.36458)
dpd,POINT (19.6697 50.11712)
dpd,POINT (18.36435 54.3444)
