grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
60930,"POLYGON ((16.81078034589876 52.38030469882928, 16.79614955760231 52.38114370408802, 16.79752536550581 52.39008527763379, 16.81215907040298 52.38924607823204, 16.81078034589876 52.38030469882928))",1.0,0.0,0.0,1.0,1.0,0.0,1.0,1261,234,918,109,633,628,134,445,54,100,473,55,99.21011058,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,0.0
60937,"POLYGON ((16.81353847816364 52.39818742666431, 16.7989018536994 52.39902682031254, 16.80027902279491 52.40796833030735, 16.81491856974944 52.40712874320766, 16.81353847816364 52.39818742666431))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,17,74,12,50,53,8,38,4,9,36,8,106.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0
61020,"POLYGON ((16.81491856974944 52.40712874320766, 16.80027902279491 52.40796833030735, 16.80165687469543 52.41690980942318, 16.81629934421543 52.41607002781518, 16.81491856974944 52.40712874320766))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,3,0,0,0,0,3,0,100.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,6.0,5.0,0.0
61021,"POLYGON ((16.82044577299272 52.44289369167667, 16.80579452970957 52.44373405765052, 16.80717511522451 52.45267541120138, 16.82182928561053 52.45183485016755, 16.82044577299272 52.44289369167667))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
61194,"POLYGON ((16.81629934421543 52.41607002781518, 16.80165687469543 52.41690980942318, 16.80303540992522 52.42585125764033, 16.81768080208593 52.4250112804671, 16.81629934421543 52.41607002781518))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
61222,"POLYGON ((16.82402966392829 52.37052267750308, 16.80940230274792 52.3713632866512, 16.81078034589876 52.38030469882928, 16.82541062319897 52.37946389512994, 16.82402966392829 52.37052267750308))",2.0,0.0,0.0,2.0,1.0,0.0,0.0,3272,777,2330,165,1603,1669,420,1117,66,357,1213,99,104.11728009,0.0,0.0,1.0,1.0,3.0,2.0,7.0,8.0,25.0,0.0
61223,"POLYGON ((16.83648294274026 52.45099248798102, 16.82182928561053 52.45183485016755, 16.82321348516264 52.46077597754937, 16.83787007044247 52.45993341960364, 16.83648294274026 52.45099248798102))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,3,1,3,3,0,0,3,0,3,0,300.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,3.0,0.0
61251,"POLYGON ((16.83509650200563 52.44205152509078, 16.82044577299272 52.44289369167667, 16.82182928561053 52.45183485016755, 16.83648294274026 52.45099248798102, 16.83509650200563 52.44205152509078))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,21,0,14,11,3,12,0,3,9,0,78.57142857,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
61265,"POLYGON ((16.82541062319897 52.37946389512994, 16.81078034589876 52.38030469882928, 16.81215907040298 52.38924607823204, 16.82679226531884 52.38840507985068, 16.82541062319897 52.37946389512994))",1.0,1.0,0.0,0.0,2.0,0.0,0.0,2705,359,1988,358,1285,1420,185,956,144,174,1032,214,110.50583657,1.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,38.0,0.0
61293,"POLYGON ((16.82955760292007 52.40628735504186, 16.81491856974944 52.40712874320766, 16.81629934421543 52.41607002781518, 16.83094129945186 52.41522844547264, 16.82955760292007 52.40628735504186))",2.0,0.0,0.0,1.0,2.0,1.0,1.0,1778,253,1319,206,851,927,132,635,84,121,684,122,108.9306698,129.0,0.0,0.0,2.0,5.0,0.0,7.0,48.0,81.0,0.0
