grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
185581,"POLYGON ((19.84967059253674 50.05569879743688, 19.8358116472711 50.05690235853763, 19.83765792926064 50.06580065333227, 19.85151939605449 50.06459683352732, 19.84967059253674 50.05569879743688))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,21,155,29,97,108,11,73,13,10,82,16,111.34020618,5.0,0.0,0.0,8.0,1.0,0.0,3.0,1.0,0.0,0.0
185593,"POLYGON ((19.85707097929686 50.09129054656507, 19.8432019406587 50.09249514072046, 19.84505166781928 50.10139317133856, 19.85892323279607 50.10018831785439, 19.85707097929686 50.09129054656507))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,25,142,42,101,108,14,71,16,11,71,26,106.93069306,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,6.0,0.0
185660,"POLYGON ((19.8459755674803 50.03790252470457, 19.83212166028894 50.03910556977404, 19.8339662240149 50.04800399734336, 19.84782265033411 50.04680069388128, 19.8459755674803 50.03790252470457))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,21,114,23,77,81,9,59,9,12,55,14,105.19480519,1.0,0.0,0.0,15.0,0.0,3.0,2.0,1.0,5.0,0.0
185678,"POLYGON ((19.84228398156035 50.02010598689737, 19.82843510904328 50.02130851654842, 19.83027795550862 50.03020707676391, 19.84412934475581 50.02900428903171, 19.84228398156035 50.02010598689737))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6,16,3,12,13,3,8,3,3,8,3,108.33333333,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
185717,"POLYGON ((19.85151939605449 50.06459683352732, 19.83765792926064 50.06580065333227, 19.83950507198166 50.07469888168257, 19.85336906152104 50.07349480391691, 19.85151939605449 50.06459683352732))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,847,150,613,84,394,453,70,286,38,80,327,46,114.97461928,3.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,6.0,0.0
185743,"POLYGON ((19.85336906152104 50.07349480391691, 19.83950507198166 50.07469888168257, 19.84135307605159 50.08359704445336, 19.85521958953893 50.08239270857086, 19.85336906152104 50.07349480391691))",0.0,0.0,0.0,0.0,1.0,0.0,0.0,549,74,382,93,252,297,36,178,38,38,204,55,117.85714285,5.0,0.0,2.0,5.0,0.0,15.0,0.0,3.0,6.0,0.0
185756,"POLYGON ((19.84043947729413 50.01120761833626, 19.82659312030943 50.01240989006168, 19.82843510904328 50.02130851654842, 19.84228398156035 50.02010598689737, 19.84043947729413 50.01120761833626))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,11,63,10,40,44,7,28,5,4,35,5,110.0,5.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
185810,"POLYGON ((19.84782265033411 50.04680069388128, 19.8339662240149 50.04800399734336, 19.8358116472711 50.05690235853763, 19.84967059253674 50.05569879743688, 19.84782265033411 50.04680069388128))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
185824,"POLYGON ((19.8367530417419 49.99341068118262, 19.82291171365792 49.99461243931233, 19.82475198872393 50.0035111982379, 19.83859582994657 50.00230918249348, 19.8367530417419 49.99341068118262))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,16,45,6,32,35,6,24,3,10,21,4,109.375,4.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0
186073,"POLYGON ((19.85982883657359 50.03669779716925, 19.8459755674803 50.03790252470457, 19.84782265033411 50.04680069388128, 19.86167843804583 50.04559570835055, 19.85982883657359 50.03669779716925))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,13,72,21,48,58,7,34,7,6,38,14,120.83333333,5.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,3.0,0.0
